# omega_M, omega_L, omega_K
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.874499999999999833e-01 7.177700000000000191e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 1.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
2.898700000000000165e-01 7.185200000000000475e-01 3.000000000000000000e+00
